[25566:22543:0810/111616:WARNING:dns_config_service_posix.cc(143)] dns_config has unhandled options!
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:34307:0810/111623:INFO:socket_host_udp.cc(359)] sendto() has failed twice returning a  transient error net::ERR_ADDRESS_UNREACHABLE. Dropping the packet.
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89148)] "Sending message", source: http://faze-web.dev/assets/vendor.js (89148)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "DEBUG: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(90044)] "spec=", source: http://faze-web.dev/assets/vendor.js (90044)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "DEBUG: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(90133)] "player=", source: http://faze-web.dev/assets/vendor.js (90133)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:34307:0810/111623:INFO:socket_host_udp.cc(359)] sendto() has failed twice returning a  transient error net::ERR_ADDRESS_UNREACHABLE. Dropping the packet.
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[utun0:fd08:ff37:df9e:263f::/64:Unknown]]: SetOption(1, 65536) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[utun0:fd08:ff37:df9e:263f::/64:Unknown]]: SetOption(2, 65536) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[utun0:fd08:ff37:df9e:263f::/64:Unknown]]: SetOption(5, 0) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[vboxnet2:192.168.99.0/24:Unknown]]: SetOption(1, 65536) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[vboxnet2:192.168.99.0/24:Unknown]]: SetOption(2, 65536) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[vboxnet2:192.168.99.0/24:Unknown]]: SetOption(5, 0) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[vboxnet1:192.168.59.0/24:Unknown]]: SetOption(1, 65536) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[vboxnet1:192.168.59.0/24:Unknown]]: SetOption(2, 65536) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[vboxnet1:192.168.59.0/24:Unknown]]: SetOption(5, 0) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[en0:10.97.240.0/20:Wifi]]: SetOption(1, 65536) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[en0:10.97.240.0/20:Wifi]]: SetOption(2, 65536) failed: 0
[25587:29187:0810/111623:WARNING:p2ptransportchannel.cc(385)] Jingle:Port[audio:1:0:local:Net[en0:10.97.240.0/20:Wifi]]: SetOption(5, 0) failed: 0
[25566:34307:0810/111623:INFO:socket_host_udp.cc(359)] sendto() has failed twice returning a  transient error net::ERR_ADDRESS_UNREACHABLE. Dropping the packet.
[25566:34307:0810/111623:INFO:socket_host_udp.cc(359)] sendto() has failed twice returning a  transient error net::ERR_ADDRESS_UNREACHABLE. Dropping the packet.
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(87489)] "Set remote and local description", source: http://faze-web.dev/assets/vendor.js (87489)
[25587:29187:0810/111623:WARNING:stunport.cc(343)] Jingle:Port[audio:1:0::Net[utun0:fd08:ff37:df9e:263f::/64:Unknown]]: StunPort: stun host lookup received error 0
[25566:34307:0810/111623:INFO:socket_host_udp.cc(359)] sendto() has failed twice returning a  transient error net::ERR_ADDRESS_UNREACHABLE. Dropping the packet.
[25566:34307:0810/111623:INFO:socket_host_udp.cc(359)] sendto() has failed twice returning a  transient error net::ERR_ADDRESS_UNREACHABLE. Dropping the packet.
[25587:29187:0810/111623:WARNING:stunport.cc(343)] Jingle:Port[audio:2:0::Net[utun0:fd08:ff37:df9e:263f::/64:Unknown]]: StunPort: stun host lookup received error 0
